site,variable,metric,slab,urb,veg,clm5,ucps
AU-Preston,SWup,R,0.9902837449121813,0.9968376793029021,0.9968270515118632,0.9967016400213422,0.9968752656071886
AU-Preston,SWup,RMSE,29.42268300242513,3.810555254891724,3.774142877600319,3.8840399020646053,3.782653022161291
AU-Preston,SWup,MAE,19.388614598610605,2.6222911342214132,2.581179206562821,2.6770525087861476,2.596006673899526
AU-Preston,SWup,STD,1.4502897577884788,1.0130672770190081,1.0068347432842342,1.012184097189045,1.0115274217241914
AU-Preston,LWup,R,0.9750562793143993,0.9838931246140826,0.9930848617545518,0.9870354665998005,0.9911930208037335
AU-Preston,LWup,RMSE,13.814006984856958,21.802926836554203,6.380378287527989,16.456971520617422,9.013669671850165
AU-Preston,LWup,MAE,9.638617574366805,16.791878772381924,5.178383230263771,13.114946291101555,6.737087383723574
AU-Preston,LWup,STD,1.2015300470213104,1.2645494104419548,1.0123554880877514,1.166078531462493,1.0765435397513923
AU-Preston,Rnet,R,0.9970081442269759,0.9990979327902277,0.999581704171216,0.9992006387024235,0.9994664414274256
AU-Preston,Rnet,RMSE,33.65623626697803,22.72150275516143,7.621308157770494,17.22411595094708,10.350873861597352
AU-Preston,Rnet,MAE,19.143827679484044,16.9055075047171,6.1509773325639445,13.117284135663583,7.234397625142996
AU-Preston,Rnet,STD,0.8829767084991942,0.9445139698361897,0.9923575235937004,0.9663757150384461,0.9816183570137879
AU-Preston,Qh,R,0.8588911483091962,0.9336120299470387,0.9374025981117781,0.9187513404859441,0.9299828001970786
AU-Preston,Qh,RMSE,50.22023370037894,37.20479768175019,35.55432733716944,36.648010627715536,39.897533207548676
AU-Preston,Qh,MAE,29.382191666885618,25.992878628564927,25.649551649442024,24.317737739658817,29.84870021139489
AU-Preston,Qh,STD,1.0228984817546949,1.0063308561480435,0.9700157179017695,0.9364434469274305,0.9821165894407152
AU-Preston,Qle,R,0.39191287453222823,0.4364364254459833,0.6247236437581257,0.6130515790817979,0.5374021273210781
AU-Preston,Qle,RMSE,74.27922848430312,49.67704167222388,41.79294252201182,42.43971383193095,45.46939202425266
AU-Preston,Qle,MAE,42.04127400492678,29.521730316999186,24.695387638581526,25.37095891885251,26.254057701071996
AU-Preston,Qle,STD,1.4778856108417069,0.4320672953784789,0.7967973497802977,0.7591354280614413,0.47657229508055615
