var_type,site,site_i,model,var,r,rmse,mbe,std_ratio
radiation,AU-Preston,1,Slab,SWup,0.9902837449121805,29.42268300242513,18.881478174161387,1.450289863563917
radiation,AU-Preston,1,Slab,LWup,0.9750562793143989,13.814006984856958,3.65310069782502,1.201530111367771
radiation,AU-Preston,1,Slab,Rnet,0.9970081442269757,33.65623626697803,-14.339935192821832,0.8829767052055382
radiation,AU-Preston,1,Urb,SWup,0.996837679302902,3.810555254891724,0.13069083636068407,1.0130673509060606
radiation,AU-Preston,1,Urb,LWup,0.9838931246140822,21.802926836554203,16.731459518772915,1.2645494781633397
radiation,AU-Preston,1,Urb,Rnet,0.999097932790228,22.72150275516143,-16.811338340452536,0.9445139663129891
radiation,AU-Preston,1,Urb_Veg,SWup,0.9968270515118631,3.774142877600319,0.23261926070628625,1.0068348167167227
radiation,AU-Preston,1,Urb_Veg,LWup,0.9930848617545519,6.380378287527989,-3.965804756023996,1.0123555423032016
radiation,AU-Preston,1,Urb_Veg,Rnet,0.9995817041712158,7.621308157770494,3.8306974805168403,0.9923575198920351
radiation,AU-Preston,1,CLM5U,SWup,0.9967016400213417,3.8840399020646053,-0.1918680352200344,1.012184097189045
radiation,AU-Preston,1,CLM5U,LWup,0.9870354665998001,16.456971520617422,12.99115696791267,1.166078531462493
radiation,AU-Preston,1,CLM5U,Rnet,0.9992006387003423,17.22411596406643,-12.882500312371628,0.9663756771244161
radiation,AU-SurreyHills,2,Slab,SWup,0.9850533004887482,13.735396820050473,5.749189253118566,1.2561309682314337
radiation,AU-SurreyHills,2,Slab,LWup,0.9760906132714766,13.372798335458278,8.152567384967245,1.2137549925462074
radiation,AU-SurreyHills,2,Slab,Rnet,0.9963956246142385,21.561231004433306,-11.143347302639146,0.9018235847493647
radiation,AU-SurreyHills,2,Urb,SWup,0.9956992140501292,3.7409881835536165,-0.8340880877850738,0.980432543856656
radiation,AU-SurreyHills,2,Urb,LWup,0.9877589536496868,18.742100961497236,17.209508789917017,1.1506463548748629
radiation,AU-SurreyHills,2,Urb,Rnet,0.999154332261018,18.627507602031137,-16.878219331334854,0.9637773192204896
radiation,AU-SurreyHills,2,Urb_Veg,SWup,0.9960742381116311,3.552812508245807,-0.6462143969452833,0.9801196636214664
radiation,AU-SurreyHills,2,Urb_Veg,LWup,0.9931607416482331,4.467164833194839,0.7798502034475255,0.9281321406773081
radiation,AU-SurreyHills,2,Urb_Veg,Rnet,0.9994217947630465,5.24204599150884,-0.4428053617297173,1.0110976008644836
radiation,AU-SurreyHills,2,CLM5U,SWup,0.995680495880045,3.6421487517715754,-0.41554082719160107,0.9880780772294673
radiation,AU-SurreyHills,2,CLM5U,LWup,0.9898033129270869,18.023707568295112,17.13343619454185,1.0825619015287857
radiation,AU-SurreyHills,2,CLM5U,Rnet,0.9992229036768716,18.12442500702953,-16.95030733005576,0.9793080521270296
radiation,CA-Sunset,3,Slab,SWup,0.9386963874652846,13.7350136796543,0.8863395488222406,1.283654293435531
radiation,CA-Sunset,3,Slab,LWup,0.9545495426075804,18.228576048666802,-0.42934731549016325,1.272978331531252
radiation,CA-Sunset,3,Slab,Rnet,0.9942189517425385,25.968952915347803,-0.47074410574557285,0.9033620844633681
radiation,CA-Sunset,3,Urb,SWup,0.97810020421827,6.07994542178413,-0.30050772977866125,1.0361162913394157
radiation,CA-Sunset,3,Urb,LWup,0.9593459757809164,20.032595556068593,6.541205098150284,1.3139037343685729
radiation,CA-Sunset,3,Urb,Rnet,0.9981564758700516,21.270170747836573,-6.504194529047643,0.9067707013387099
radiation,CA-Sunset,3,Urb_Veg,SWup,0.977649802098775,6.570031731271481,-2.693124236748117,0.9420724294031053
radiation,CA-Sunset,3,Urb_Veg,LWup,0.9661351551976934,14.854336017713356,2.054154291293014,1.2057053354079599
radiation,CA-Sunset,3,Urb_Veg,Rnet,0.9982889608722122,14.348707148152315,-0.5968328132329161,0.9471794063020539
radiation,CA-Sunset,3,CLM5U,SWup,0.9780482696097027,6.210657545225215,-2.050990503341147,0.9687822998425535
radiation,CA-Sunset,3,CLM5U,LWup,0.9637204454012914,16.062109462791295,3.1422217707752016,1.229968989210966
radiation,CA-Sunset,3,CLM5U,Rnet,0.998237032701814,15.930385092603029,-2.0690330430131976,0.9366044060053726
radiation,FI-Kumpula,4,Slab,SWup,0.9573292180363799,21.106887285365286,3.804395404602818,1.3127525005583964
radiation,FI-Kumpula,4,Slab,LWup,0.9816068860388227,13.73864838158238,-2.83937446937544,1.1505345794857638
radiation,FI-Kumpula,4,Slab,Rnet,0.9902557220754142,23.182246049016747,-0.04774373043618098,0.9277344324632003
radiation,FI-Kumpula,4,Urb,SWup,0.9803498543628464,9.15712634921515,-1.9348361386616804,0.971009304744042
radiation,FI-Kumpula,4,Urb,LWup,0.9934452122078113,8.413524855132477,2.6703722540317822,1.0925785558470895
radiation,FI-Kumpula,4,Urb,Rnet,0.9981897059333259,10.721025818473224,-1.6087351848124498,0.9627730569960035
radiation,FI-Kumpula,4,Urb_Veg,SWup,0.9479414466793636,16.490301899107827,-5.499016394649147,0.8204240865310073
radiation,FI-Kumpula,4,Urb_Veg,LWup,0.9968772515354082,9.34027700212754,-7.504377595606702,0.9269741436279055
radiation,FI-Kumpula,4,Urb_Veg,Rnet,0.9970344598057902,16.66757186858079,11.114593437490006,1.024730794350937
radiation,FI-Kumpula,4,CLM5U,SWup,0.9332544852798685,16.784641101232022,-3.206961979291719,0.877443781286171
radiation,FI-Kumpula,4,CLM5U,LWup,0.9931958625166463,6.652564995384184,2.256693311890481,1.016071953862792
radiation,FI-Kumpula,4,CLM5U,Rnet,0.996041483076793,13.520617572217406,-0.056325578288916114,0.991032343586496
radiation,FI-Torni,5,Slab,SWup,0.7923717979676994,48.84419202184798,22.005781858966632,2.2415396394727334
radiation,FI-Torni,5,Slab,LWup,0.977868044047875,15.644785108862536,-5.243713008397069,1.196038896586928
radiation,FI-Torni,5,Slab,Rnet,0.9789651569939894,35.33915745340561,-4.589812254482674,0.8725983169011967
radiation,FI-Torni,5,Urb,SWup,0.9771858934408938,6.1980167243573545,1.4080560865946352,1.0247288082705601
radiation,FI-Torni,5,Urb,LWup,0.9912998170156732,9.807639653499026,4.637918290248647,1.1099705366634427
radiation,FI-Torni,5,Urb,Rnet,0.9986861421760292,10.562440330914676,-5.490159035988861,0.9689387689970785
radiation,FI-Torni,5,Urb_Veg,SWup,0.986033988094306,4.657369752051975,0.5849346587702756,0.9904878579172175
radiation,FI-Torni,5,Urb_Veg,LWup,0.9926174649261333,15.941035995222677,-14.648258333177964,0.9487922649400048
radiation,FI-Torni,5,Urb_Veg,Rnet,0.9991004626745807,15.09204296055427,13.632830754046218,1.002116933899963
radiation,FI-Torni,5,CLM5U,SWup,0.9825554562367959,5.473038627517016,-1.2906472714759893,0.9357116860137417
radiation,FI-Torni,5,CLM5U,LWup,0.9925087213256027,7.967646623184176,4.665698190492747,1.0436615310561643
radiation,FI-Torni,5,CLM5U,Rnet,0.9989744464936561,8.325517958491869,-4.4733897001114205,0.9902705408929429
radiation,FR-Capitole,6,Slab,SWup,0.9857091877386961,18.997927049382753,9.74903376065802,1.441801321571526
radiation,FR-Capitole,6,Slab,LWup,0.9831702018041872,14.324288773050307,-10.31125942063426,1.0345922815428132
radiation,FR-Capitole,6,Slab,Rnet,0.9974630514760188,18.037464758239903,4.782792051000805,0.9359243496208922
radiation,FR-Capitole,6,Urb,SWup,0.9906375961820804,5.7885581263358015,-3.50342204414096,1.0061923063457636
radiation,FR-Capitole,6,Urb,LWup,0.9964863568232877,6.801611435667479,3.4408937267703696,1.07082816911105
radiation,FR-Capitole,6,Urb,Rnet,0.9993520724857997,6.940354752163823,-1.5496224492480373,0.9926942589604024
radiation,FR-Capitole,6,Urb_Veg,SWup,0.9908449992646956,5.721440855092199,-3.472259561289399,1.003467499601798
radiation,FR-Capitole,6,Urb_Veg,LWup,0.9969921440454258,10.873083735505372,-10.076761835758361,0.9885255059690791
radiation,FR-Capitole,6,Urb_Veg,Rnet,0.999521140689056,13.393647373142693,11.968461821872255,1.0095521425448435
radiation,FR-Capitole,6,CLM5U,SWup,0.990922880093861,5.226146052810823,-1.767577199912327,1.0495271549807887
radiation,FR-Capitole,6,CLM5U,LWup,0.9950900997949317,8.680858032123126,4.919414509705965,1.0891588579210625
radiation,FR-Capitole,6,CLM5U,Rnet,0.9991957320928232,8.813894728848314,-3.9881801483270727,0.985034032812706
radiation,GR-HECKOR,7,Slab,SWup,0.9871268735065634,19.944410045430118,-16.37305829583912,0.9005792082926597
radiation,GR-HECKOR,7,Slab,LWup,0.9619353817637779,28.875774899267842,14.762961635978742,1.4663378936253415
radiation,GR-HECKOR,7,Slab,Rnet,0.9972768092043977,21.827883441771686,-5.902078451319023,0.9441771649237998
radiation,GR-HECKOR,7,Urb,SWup,0.9935721897776709,8.43768192974055,-2.3549418125779167,1.0562185738801866
radiation,GR-HECKOR,7,Urb,LWup,0.9685576250444409,33.90045352547956,24.33666646243644,1.4540806276354452
radiation,GR-HECKOR,7,Urb,Rnet,0.9983276210316645,35.132568392387746,-23.29996574038297,0.9004107654257802
radiation,GR-HECKOR,7,Urb_Veg,SWup,0.9936052529581771,8.377340906250078,-2.3698161768937056,1.0545449318265445
radiation,GR-HECKOR,7,Urb_Veg,LWup,0.974305655784592,25.248500974869298,16.864443144293936,1.3457174838480255
radiation,GR-HECKOR,7,Urb_Veg,Rnet,0.9988072095264435,26.69749597378953,-15.776617565867243,0.919496804519914
radiation,GR-HECKOR,7,CLM5U,SWup,0.9935046916917126,8.409762695400932,-2.4085356662191524,1.053549767069929
radiation,GR-HECKOR,7,CLM5U,LWup,0.974923928236382,30.126853174598764,21.193980643324796,1.4170114754299876
radiation,GR-HECKOR,7,CLM5U,Rnet,0.9981476807926992,31.386753411195073,-20.041493239276843,0.9132404012673705
radiation,JP-Yoyogi,8,Slab,SWup,0.7926629554830448,27.784289428883064,-1.0489874415900562,1.3479808344359754
radiation,JP-Yoyogi,8,Slab,LWup,0.9564001152449096,19.085941634901737,-6.625098070377544,1.1543863576292963
radiation,JP-Yoyogi,8,Slab,Rnet,0.9900796014407501,28.822937194867517,7.124039241338036,0.9558403715953433
radiation,JP-Yoyogi,8,Urb,SWup,0.9421006485658656,12.401069375040672,-0.0698040818825351,1.0944844199176211
radiation,JP-Yoyogi,8,Urb,LWup,0.9840002333351937,16.80205462892017,10.747834348641817,1.165854062296703
radiation,JP-Yoyogi,8,Urb,Rnet,0.9976891298311563,19.94299027062231,-10.79797502577936,0.9436376773525692
radiation,JP-Yoyogi,8,Urb_Veg,SWup,0.947990506602227,11.680569348046392,-0.08120339704843484,1.0859928791557922
radiation,JP-Yoyogi,8,Urb_Veg,LWup,0.9862649400968979,10.995393673877988,2.537662048471242,1.1173995741789529
radiation,JP-Yoyogi,8,Urb_Veg,Rnet,0.9980539395688912,14.958974821715083,-2.565248953212758,0.9540621213063216
radiation,JP-Yoyogi,8,CLM5U,SWup,0.9701970544373996,8.534492903418377,-0.5717438868396915,1.0426658854904685
radiation,JP-Yoyogi,8,CLM5U,LWup,0.9844353822843158,14.833430127667409,8.322940795269052,1.150855304985662
radiation,JP-Yoyogi,8,CLM5U,Rnet,0.9980799132209252,17.853018377905357,-8.067894816063745,0.9436360398140684
radiation,KR-Jungnang,9,Slab,SWup,0.934846932186896,29.953715895460725,22.59909959857058,1.4168154568278881
radiation,KR-Jungnang,9,Slab,LWup,0.9815993622611079,14.963459069021233,-7.433519681275776,1.0116659413398557
radiation,KR-Jungnang,9,Slab,Rnet,0.9933733135866427,25.954689269458182,-3.1634966958063897,0.9296487914269443
radiation,KR-Jungnang,9,Urb,SWup,0.9826074331762524,7.112295764597601,-0.9252525567078045,0.8747925196094123
radiation,KR-Jungnang,9,Urb,LWup,0.9936815697572416,13.360781233166538,9.192665020425684,1.0844091010268269
radiation,KR-Jungnang,9,Urb,Rnet,0.9992630398134043,12.292968150489434,-9.137889161088491,0.9823444386299865
radiation,KR-Jungnang,9,Urb_Veg,SWup,0.9826079668524805,7.082879842365658,-0.858487440561118,0.8760792336971621
radiation,KR-Jungnang,9,Urb_Veg,LWup,0.9936864241038754,13.352095988152678,9.185945584460313,1.084334586042717
radiation,KR-Jungnang,9,Urb_Veg,Rnet,0.9992629100322138,12.321186251569294,-9.162115865046403,0.9821597739513168
radiation,KR-Jungnang,9,CLM5U,SWup,0.9824690118346278,6.709683428052661,1.862584256227755,0.9210713761618139
radiation,KR-Jungnang,9,CLM5U,LWup,0.992151826934613,14.76261965264493,10.198675855883172,1.090158578691615
radiation,KR-Jungnang,9,CLM5U,Rnet,0.998942056500275,14.977202441990793,-11.390173751190268,0.9803258721900753
radiation,KR-Ochang,10,Slab,SWup,0.9412073996076081,18.45902241505056,-6.3851994090106245,0.8207283673380904
radiation,KR-Ochang,10,Slab,LWup,0.9887667108367802,9.852337931910222,1.5281058982094722,1.0248545226962416
radiation,KR-Ochang,10,Slab,Rnet,0.9969325541170773,15.541164761828774,2.023785031764618,1.019832073779322
radiation,KR-Ochang,10,Urb,SWup,0.9503317105074104,15.050389707969876,-0.24442870575648998,0.9345727306085176
radiation,KR-Ochang,10,Urb,LWup,0.9897502215195767,17.194208908885674,13.620087129557282,1.0739628129130707
radiation,KR-Ochang,10,Urb,Rnet,0.9971994554155462,19.718792567710008,-13.545412273014769,0.9846232749461047
radiation,KR-Ochang,10,Urb_Veg,SWup,0.9464521381417801,15.601142634939459,0.6002783309405411,0.9457154748403941
radiation,KR-Ochang,10,Urb_Veg,LWup,0.9910334374009571,8.849283129485164,1.8539353905116431,0.9621658096316266
radiation,KR-Ochang,10,Urb_Veg,Rnet,0.9976338731347204,13.797419273885923,-2.1368748216711415,1.0194788369199985
radiation,KR-Ochang,10,CLM5U,SWup,0.9463835344535171,16.68501965988901,5.428612365162628,0.9952286370890842
radiation,KR-Ochang,10,CLM5U,LWup,0.9891513159177736,13.080768384531407,8.782430928122041,1.032439795117553
radiation,KR-Ochang,10,CLM5U,Rnet,0.9970426613305613,18.8903625207316,-11.861863899337747,0.984894480892615
radiation,MX-Escandon,11,Slab,SWup,0.9755649599911446,38.18291192784829,25.601874101316625,1.872464482238921
radiation,MX-Escandon,11,Slab,LWup,,,,
radiation,MX-Escandon,11,Slab,Rnet,,,,
radiation,MX-Escandon,11,Urb,SWup,0.9823941502044623,7.342510332678181,-4.398222649442979,1.025170291137532
radiation,MX-Escandon,11,Urb,LWup,,,,
radiation,MX-Escandon,11,Urb,Rnet,,,,
radiation,MX-Escandon,11,Urb_Veg,SWup,0.983429431884992,7.113246536274109,-4.2256586801546066,1.0273007030593
radiation,MX-Escandon,11,Urb_Veg,LWup,,,,
radiation,MX-Escandon,11,Urb_Veg,Rnet,,,,
radiation,MX-Escandon,11,CLM5U,SWup,0.9833929633850986,6.651998057440293,-1.5476329778824902,1.0908103827881006
radiation,MX-Escandon,11,CLM5U,LWup,,,,
radiation,MX-Escandon,11,CLM5U,Rnet,,,,
radiation,NL-Amsterdam,12,Slab,SWup,0.9619044100558707,33.261055128694544,21.816818192952624,1.9310009555800003
radiation,NL-Amsterdam,12,Slab,LWup,0.9730383526394609,12.40655589312574,-6.704371394231661,1.1127457686862092
radiation,NL-Amsterdam,12,Slab,Rnet,0.9959863199978212,29.231136325788064,-5.980203336248636,0.8719953535377124
radiation,NL-Amsterdam,12,Urb,SWup,0.9854145256194901,4.744173690986578,-1.3782022437763213,0.9206864995286062
radiation,NL-Amsterdam,12,Urb,LWup,0.9892702497245294,7.616025201751373,4.302147229773471,1.0600480277060902
radiation,NL-Amsterdam,12,Urb,Rnet,0.999303515516314,7.840384252054164,-3.546522640786716,0.9972777291069385
radiation,NL-Amsterdam,12,Urb_Veg,SWup,0.9858502654526805,4.626771437892843,-1.2136367589748862,0.9228811526432475
radiation,NL-Amsterdam,12,Urb_Veg,LWup,0.9912035828797285,19.664840804510995,-18.820700292212923,0.926689228257408
radiation,NL-Amsterdam,12,Urb_Veg,Rnet,0.9994246553951346,20.85205709666845,19.599217443158715,1.016664635137741
radiation,NL-Amsterdam,12,CLM5U,SWup,0.9856589571950252,4.454203686567166,-0.9210366040961088,0.9401894400971842
radiation,NL-Amsterdam,12,CLM5U,LWup,0.989778007104532,6.315430996016829,2.3191032704861705,1.041580953927055
radiation,NL-Amsterdam,12,CLM5U,Rnet,0.9993467531593395,7.050579828453585,-1.81179053114501,0.9948748663403911
radiation,PL-Lipowa,13,Slab,SWup,0.8592279087626696,55.45253802664417,33.903094026263005,2.94757838271492
radiation,PL-Lipowa,13,Slab,LWup,0.9726412149373435,28.977331082904854,-25.478096557015427,0.9643045140380483
radiation,PL-Lipowa,13,Slab,Rnet,0.9912646125027323,44.92182367052772,5.785963798784022,0.762706861157218
radiation,PL-Lipowa,13,Urb,SWup,0.8575994294311294,11.30743436235135,-1.339426332097411,1.0528784295017957
radiation,PL-Lipowa,13,Urb,LWup,0.983825332941166,20.925122771671788,-18.01578253755742,0.9902100854131224
radiation,PL-Lipowa,13,Urb,Rnet,0.9962736388879714,25.06208932354628,18.59953048236362,0.946655398927755
radiation,PL-Lipowa,13,Urb_Veg,SWup,0.8585229535059206,11.035507381969481,-2.2466110255246843,0.9901355303221012
radiation,PL-Lipowa,13,Urb_Veg,LWup,0.9876783536516571,32.562309426575425,-30.75179188026204,0.8981422384917823
radiation,PL-Lipowa,13,Urb_Veg,Rnet,0.9955345763838442,35.790581596399925,31.91210564172093,0.9781341000284512
radiation,PL-Lipowa,13,CLM5U,SWup,0.8586160050832968,11.041933222336699,-2.7241994802928877,0.9687190469890657
radiation,PL-Lipowa,13,CLM5U,LWup,0.9800418518807448,22.989246896336702,-19.683342866521333,0.957955608900062
radiation,PL-Lipowa,13,CLM5U,Rnet,0.9949489175098318,27.546922511977836,21.082638002573606,0.9640716126528578
radiation,PL-Narutowicza,14,Slab,SWup,0.942701047874605,57.285594420480145,38.767715086557146,2.859668674945691
radiation,PL-Narutowicza,14,Slab,LWup,0.9697030238631017,16.329069027420058,-7.647416828610912,1.0138208022556447
radiation,PL-Narutowicza,14,Slab,Rnet,0.9905288697087615,44.90570058875027,-13.609238530020042,0.7790362443965715
radiation,PL-Narutowicza,14,Urb,SWup,0.9517550129373835,7.236691823703555,-0.010285103321037896,1.083320644191545
radiation,PL-Narutowicza,14,Urb,LWup,0.9767975349690446,12.534300278283752,0.6529854294940939,0.9995505787830535
radiation,PL-Narutowicza,14,Urb,Rnet,0.996729533721562,14.0121397658242,-0.6473565839154684,0.9802374426942396
radiation,PL-Narutowicza,14,Urb_Veg,SWup,0.9560420059888515,6.658102208804683,-1.9104708763355769,0.9806815135078969
radiation,PL-Narutowicza,14,Urb_Veg,LWup,0.9761172963518173,19.51123295607747,-14.095006220951642,0.8943251933457931
radiation,PL-Narutowicza,14,Urb_Veg,Rnet,0.996769541985326,20.82750409602002,15.275739174978977,1.0193202250740712
radiation,PL-Narutowicza,14,CLM5U,SWup,0.9448924384760214,7.3484456690829285,-1.5702286683744475,0.9950430754793371
radiation,PL-Narutowicza,14,CLM5U,LWup,0.9758859910397643,12.723510331968606,-0.36087372142184193,0.960441775994364
radiation,PL-Narutowicza,14,CLM5U,Rnet,0.9968026449217666,13.620774027308995,1.2759337557626675,0.9972189990805481
radiation,SG-TelokKurau06,15,Slab,SWup,0.9699481573994289,16.473761496793866,5.080301212843006,1.2078740500625746
radiation,SG-TelokKurau06,15,Slab,LWup,0.9053633869081488,16.983794901207215,-9.795881957776734,1.3639197390901325
radiation,SG-TelokKurau06,15,Slab,Rnet,0.9956620156787988,23.22400614577638,7.021243880588729,0.954918336686695
radiation,SG-TelokKurau06,15,Urb,SWup,0.9929937304532388,6.476900162543779,1.7386910216586315,1.059280788676456
radiation,SG-TelokKurau06,15,Urb,LWup,0.9838839503293992,19.65571183968778,9.91793246594379,1.7271103944189912
radiation,SG-TelokKurau06,15,Urb,Rnet,0.9988317561515475,22.70948040332328,-11.036649457406002,0.9216439562093406
radiation,SG-TelokKurau06,15,Urb_Veg,SWup,0.9932144039703156,6.5177226143718725,2.0133219976466035,1.061011979591283
radiation,SG-TelokKurau06,15,Urb_Veg,LWup,0.9854245795949026,13.240067098217164,-7.782159570498358,1.4369563445523783
radiation,SG-TelokKurau06,15,Urb_Veg,Rnet,0.9992351445008049,15.268693073867036,6.6097706062443935,0.9496442892018563
