Site,HL_GHSL,HL_Glob3D,HL_obs
AU-Preston,0.476,0.347,0.378
AU-SurreyHills,0.476,0.304,0.351
CA-Sunset,0.451,0.469,0.259
FR-Capitole,0.243,0.337,0.260
GR-HECKOR,0.886,1.189,0.692
KR-Jungnang,1.645,1.409,0.619
MX-Escandon,0.785,0.835,0.442
NL-Amsterdam,1.402,1.089,0.906
PL-Lipowa,0.376,0.574,0.338
PL-Narutowicza,0.502,0.640,0.610
SG-TelokKurau06,1.257,1.202,0.911
UK-KingsCollege,0.337,0.556,0.513
UK-Swindon,0.493,1.588,0.380
US-Baltimore,0.369,0.555,0.257
US-WestPhoenix,0.354,0.445,0.284
